Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.TcpWithSyncReceiveNetworkChannel.cs              | C#                      |        210 |         23 |         34 |        267 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.cs                                               | C#                      |        251 |         68 |         35 |        354 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkMissHeartBeatEventArgs.cs                                | C#                      |         33 |         27 |          6 |         66 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/Packet.cs                                                       | C#                      |          6 |          9 |          2 |         17 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/ServiceType.cs                                                  | C#                      |          8 |         15 |          3 |         26 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/IObjectPool.cs                                               | C#                      |         69 |        120 |         30 |        219 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/IObjectPoolManager.cs                                        | C#                      |         96 |        569 |         87 |        752 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectBase.cs                                                | C#                      |        117 |         71 |         20 |        208 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectInfo.cs                                                | C#                      |         73 |         39 |         11 |        123 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolBase.cs                                            | C#                      |         72 |         60 |         21 |        153 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.Object.cs                                  | C#                      |        120 |         58 |         19 |        197 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.ObjectPool.cs                              | C#                      |        437 |        127 |         74 |        638 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.cs                                         | C#                      |        588 |        584 |        132 |      1,304 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ReleaseObjectFilterCallback.cs                               | C#                      |          6 |         14 |          3 |         23 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/IProcedureManager.cs                                          | C#                      |         23 |         48 |         11 |         82 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/ProcedureBase.cs                                              | C#                      |         28 |         32 |          7 |         67 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/ProcedureManager.cs                                           | C#                      |        116 |         63 |         26 |        205 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Properties/AssemblyInfo.cs                                              | C#                      |         14 |         19 |          6 |         39 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/ApplyResourcesCompleteCallback.cs                              | C#                      |          4 |         11 |          2 |         17 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/CheckResourcesCompleteCallback.cs                              | C#                      |          4 |         14 |          2 |         20 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/CheckVersionListResult.cs                                      | C#                      |          8 |         15 |          3 |         26 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/Constant.cs                                                    | C#                      |          7 |         12 |          2 |         21 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/DecryptResourceCallback.cs                                     | C#                      |          4 |         20 |          2 |         26 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/HasAssetResult.cs                                              | C#                      |         12 |         27 |          7 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/ILoadResourceAgentHelper.cs                                    | C#                      |         21 |         59 |         15 |         95 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/IResourceGroup.cs                                              | C#                      |         45 |         44 |         13 |        102 |
